URL,Word Count,Image Count,Heading Count,Link Count
"https://www.zoho.com/recruit/ai-recruitment.html",1686,22,29,4
"https://www.findem.ai/knowledge-center/ai-recruitment-tools",1907,2,21,65
"https://www.kula.ai/blog/ai-recruitment-software",9159,39,116,67
"https://recruitcrm.io/",2007,57,59,36
"https://www.selectsoftwarereviews.com/buyer-guide/ai-recruiting",16027,226,167,181
"https://cvviz.com/",1340,48,31,46
"https://zapier.com/blog/ai-recruiting-tools/",228,11,4,41
"https://www.techtarget.com/searchhrsoftware/tip/Top-AI-recruiting-tools-and-software-of-2022",7284,13,30,60
"https://www.carv.com/blog/ai-recruitment-tools",2547,11,30,35
"https://arc.dev/employer-blog/ai-screening-tools-and-recruiting-software/",4634,21,39,80
